;;; @article{yunetal2015,
;;; 	title={The Korean Corpus of Spontaneous Speech},
;;; 	author={Yun, W., Yoon, K., Park, S., Lee, J., Cho, S., Kang, D., Byun, K., Hahn, H., Kim, J.},
;;; 	journal={Journal of the Korean Society of Speech Sciences},
;;; 	volume={7(2)},
;;; 	pages={103–109},
;;; 	year={2015},
;;; 	publisher={}
;;; }
ㄱㅏㄴㅏㄴㅎㅏㄴㄷㅔ	g a n a n a N d e
ㄱㅏㄴㅏㄴㅎㅏㄷㅓㄹㅏㄱㅗㅛ	g a n a n a d eo r a g u y eo
ㄱㅏㄴㅏㄴㅎㅏㅅㅣㄴ	g a n a n a s i M
ㄱㅏㄴㅏㄴㅎㅐ	g a n a n e
ㄱㅏㄴㅏㄴㅎㅐㅆㄱㅓㄷㅡㄴ	g a n a n e kk eo d eu N
ㄱㅏㄴㅏㅁ	g a n a M
ㄱㅏㄴㅑ	g a n y a
ㄱㅏㄴㅔ	g a n e
ㄱㅏㄴㅔㅛ	g a n e y o
ㄱㅏㄴㅕㅁㅣ	g a n y eo m i
ㄱㅏㄴㅡㄴ	g a N n eu M
ㄱㅏㄴㅡㄴ	g a a NG
ㄱㅏㄴㅡㄴ	g a eu N
ㄱㅏㄴㅡㄴ	g a n eo NG
ㄱㅏㄴㅡㄴ	g a n eu
ㄱㅏㄴㅡㄴ	g a n eu M
ㄱㅏㄴㅡㄴ	g a n eu N
ㄱㅏㄴㅡㄴ	g a n eu NG
ㄱㅏㄴㅡㄴ	g a r eu NG
ㄱㅏㄴㅡㄴ	g a r eu n eu NG
ㄱㅏㄴㅡㄴ	g y a n eu NG
ㄱㅏㄴㅡㄴ	k a n eu N
ㄱㅏㄴㅡㄴ	kk a n eu N
ㄱㅏㄴㅡㄴ	kk a n eu NG
ㄱㅏㄴㅡㄴㄷㅔ	a n eu N d e
ㄱㅏㄴㅡㄴㄷㅔ	g a N d e
ㄱㅏㄴㅡㄴㄷㅔ	g a eu N d e
ㄱㅏㄴㅡㄴㄷㅔ	g a n eu N d e
ㄱㅏㄴㅡㄴㄷㅔㅛ	g a n eu N d e eo
ㄱㅏㄴㅡㄴㅈㅣ	g a n eu N j i
ㄱㅏㄴㅡㄴㅈㅣ	kk a n eu N j i
ㄱㅏㄴㅡㄴㅈㅣㄷㅗ	g a n eu N j i d u
ㄱㅏㄴㅡㅇ	g a n eu NG
ㄱㅏㄴㅡㅇㅅㅓㅇ	g a n eu NG ss eo NG
ㄱㅏㄴㅡㅇㅅㅓㅇㅡㄹ	g a n eu NG ss eo NG eu L
ㄱㅏㄴㅡㅇㅅㅓㅇㅣ	g a n eu NG ss eo NG i
ㄱㅏㄴㅡㅇㅎㅏㄱㅓㄷㅡㄴㅛ	g a n eu NG a g eo d eu NG y eo
